review_id,business,location,review_date,rating,review,source,author,review_reply_url
R011,Moti Mahal,Toronto,4/9/2024,1,The food is below average. I ordered chicken tikka with naan and the chicken had chunks of onions. They weren’t even diced. No taste at all in any food item we ordered,Google,Akansha Verma ,https://www.google.com/maps/contrib/108204734892823580464/reviews?hl=en-CA
R012,Moti Mahal,Toronto,6/8/2026,1,"This place needs to improve seriously. I remember visiting it in 2019 when their hygiene was a little better but now they might as well be making people sick. I got their chole bhature and started vomiting as soon as I got back home. I had severe stomachache for the next few days. Their kitchen has stale food and nobody in the staff has any hygiene manners. It’s never properly mopped and you can even smell an eerie stinky smell. Please please please take proper measures as people’s health is affected when you don’t. In the pictures, you can look at the amount of oil used in there. I didn’t even finish half of it and still got sick. Never going back unless they fix their hygiene.",Google,Kirti Khanna,https://www.google.com/maps/contrib/105677419357806911202/reviews?hl=en-CA
R013,Moti Mahal,Toronto,9/21/2024,5,"Moti Mahal has existed in this neighbourhood for many years. It offers a mixture of Delhi style street food with South Indian dosas. There are many restaurants in Gerrard Street that offer a diverse mixture of South Asian dishes, but if I'm here in this neighbourhood, I would prefer Moti Mahal.",Google,Alvin Ma,https://www.google.com/maps/contrib/103816310242706378740/reviews?hl=en-CA
R014,Moti Mahal,Toronto,5/9/2025,2,"To begin with service they have poor service. The cashier over there have some different attitude and the guy who gives order he’s doesn’t have sense to deal with the customer….For the atmosphere, the place is nothing but unhygienic…….their washroom is dirty like hell….they have no paper tower to use in the washroom, no dryer is working to get one’s hand dry. The food is just a hype…my friends they didn’t even finish their plates……it was just like as we got it. No doubt, the price is cheep as their service and food. The boy Riteish was rude I guess. It’s like one time place!! Never gonna visit again. I had really bad experience.
Food: 3/5  |  Service: 1/5  |  Atmosphere: 1/5",Google,Ayushi Bakshi,https://www.google.com/maps/contrib/114575078422859380119/reviews?hl=en-CA
R015,Moti Mahal,Toronto,4/5/2026,3,"I recently visited Moti Mahal for some Indian street food cravings and had a mixed experience. We ordered a variety of chaat items including sweets. The Raj Kachori was a bit disappointing it resembled more of a basket chaat and lacked the authentic flavor and presentation I expected. However, we also did a takeout of Chole Bhature, and it was delicious. A definite must-try if you visit!

Overall, a decent spot for Indian snacks, but stick to the classics like Chole Bhature for the best experience.
Food: 3/5  |  Service: 5/5  |  Atmosphere: 4/5",Google,Prajay Patel,https://www.google.com/maps/contrib/111791838123684477389/reviews?hl=en-CA
R016,Moti Mahal,Toronto,12/9/2026,2,"Decent food. I ordered chana bhatura, tandoori chicken and fish pakora. None of the dishes stood out, to be honest. It was just average South Asian food. The chana itself was very salty and the tandoori chicken was well seasoned but not especially moist. The fish pakora isn't worth it at all — small fish pieces in a lot of batter. I don't think I'll be getting food from Moti mahal again.
Food: 3/5  |  Service: 3/5  |  Atmosphere: 3/5",Google,Deep Mistry,
R017,Moti Mahal,Toronto,12/12/2025,3,"We tried following items,
- Mango Lassi - 1.5/5 - Was bitter for some reason
- Falooda - 1/5 - was watered down
- Channa Bhature - 3.5/5 - this was great but channa and bhature was a bit oily.
- Pani Puri - 5/5 - it was the best thing we got.

We took take-out and here are some other stuff we noticed,

Staff - 5/5 - super friendly, we didn’t have to wait too long for food to get ready even though there were a lot of people dining in at the time.
Hygiene - 2/5 - we found dirt on the outside container for the drinks which was off-putting. Also staff was using windex to clean tables as opposed to actual sanitary solutions.

Giving 3/5 for the overall experience here.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 4/5

Seating type
Indoor dining area, Counter seating",Google,Vihaan Shah,https://www.google.com/maps/contrib/117881611790414058797/reviews?hl=en-CA
R018,Moti Mahal,Toronto,7/5/2026,1,We have been visiting Moti Mahal for over 4 years but this was the very first time we were served with the oiliest and flakiest bathura’s. The food was not up to the mark and it was really disappointing. Not up to the standards of Moti Mahal.,Google,Rajat Mishra,https://www.google.com/maps/contrib/115484336991292747181/reviews?hl=en-CA
R019,Moti Mahal,Toronto,1/31/2026,4,"The place is pretty narrow, and with chairs in the middle, we didn't feel so comfortable walking to the counter to make an order. Service was pretty fast, and it didn't take long for our order to be ready. Portions are decent size for the price, we ate half of what we ordered and took other half home. Everything tasted good, naan bread was a little to oily, but still very delicious. In our opinion reusable plastic plates could be replaced with proper ones and disposable cutlery could also be replaced with more sustainable options. Overall good experience and worth to visit at least once.",Google,Nishit Shah,https://www.google.com/maps/contrib/114552784744610186742/reviews?hl=en-CA
R020,Moti Mahal,Toronto,3/15/2026,1,"The quality of the food, in terms of taste and presentation, did not meet expectations. The channa bhature and pani puri lacked flavor. The Raj Kachori was decent, and the mango lassi was good, as expected. Overall, it was not worth the money.",Google,Rob Dick,https://www.google.com/maps/contrib/111154416144187613669/reviews?hl=en-CA
